,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Key,,,,,Rel m,,,Key,,Rel M,,,,,,Key,,Rel M,,,,,,Key,,Rel M,,,,,,Note Equivalencies,,,,,
,I,ii,iii,IV,V,vi,vii,,i,ii,III,iv,v,VI,VII,,i,ii,III,iv,V,VI,vii,,i,ii,III,IV,V,vi,vii,,C#,Db,C##,D,C###,D#
,Maj,min,min,Maj,Maj,min,dim,,min,dim,Maj,min,min,Maj,Maj,,min,dim,aug,min,Maj,Maj,dim,,min,min,aug,Maj,Maj,dim,dim,,D#,Eb,D##,E,D###,F
,C,D,E,F,G,A,B,,C,D,Eb,F,G,Ab,Bb,,C,D,Eb,F,G,Ab,B,,C,D,Eb,F,G,A,B,,E#,F,E##,F#,E###,G
,C#,D#,E#,F#,G#,A#,B#,,C#,D#,E,F#,G#,A,B,,C#,D#,E,F#,G#,A,B#,,C#,D#,E,F#,G#,A#,B#,,F#,Gb,F##,G,F###,G#
,Db,Eb,F,Gb,Ab,Bb,C,,Db,Eb,Fb,Gb,Ab,Bbb,Cb,,Db,Eb,Fb,Gb,Ab,Bbb,C,,Db,Eb,Fb,Gb,Ab,Bb,C,,G#,Ab,G##,A,G###,A#
,D,E,F#,G,A,B,C#,,D,E,F,G,A,Bb,C,,D,E,F,G,A,Bb,C#,,D,E,F,G,A,B,C#,,A#,Bb,A##,B,A###,C
,D#,E#,F##,G#,A#,B#,C##,,D#,E#,F#,G#,A#,B,C#,,D#,E#,F#,G#,A#,B,C##,,D#,E#,F#,G#,A#,B#,C##,,B#,C,B##,C#,B###,D
,Eb,F,G,Ab,Bb,C,D,,Eb,F,Gb,Ab,Bb,Cb,Db,,Eb,F,Gb,Ab,Bb,Cb,D,,Eb,F,Gb,Ab,Bb,C,D,,Cb,B,Cbb,A#,Cbbb,A
,E,F#,G#,A,B,C#,D#,,E,F#,G,A,B,C,D,,E,F#,G,A,B,C,D#,,E,F#,G,A,B,C#,D#,,Db,C#,Dbb,C,Dbbb,B
,E#,F##,G##,A#,B#,C##,D##,,E#,F##,G#,A#,B#,C#,D#,E#,E#,F##,G#,A#,B#,C#,D##,E#,E#,F##,G#,A#,B#,C##,D##,,Eb,D#,Ebb,D,Ebbb,C#
,Fb,Gb,Ab,Bbb,Cb,Db,Eb,,Fb,Gb,Abb,Bbb,Cb,Dbb,Ebb,Fb,Fb,Gb,Abb,Bbb,Cb,Dbb,Eb,Fb,Fb,Gb,Abb,Bbb,Cb,Db,Eb,,Fb,E,Fbb,D#,Fbbb,D
,F,G,A,Bb,C,D,E,,F,G,Ab,Bb,C,Db,Eb,F,F,G,Ab,Bb,C,Db,E,F,F,G,Ab,Bb,C,D,E,,Gb,F#,Gbb,F,Gbbb,E
,F#,G#,A#,B,C#,D#,E#,,F#,G#,A,B,C#,D,E,,F#,G#,A,B,C#,D,E#,,F#,G#,A,B,C#,D#,E#,,Ab,G#,Abb,G,Abbb,F#
,Gb,Ab,Bb,Cb,Db,Eb,F,,Gb,Ab,Bbb,Cb,Db,Ebb,Fb,,Gb,Ab,Bbb,Cb,Db,Ebb,F,,Gb,Ab,Bbb,Cb,Db,Eb,F,,Bb,A#,Bbb,A,Bbbb,G#
,G,A,B,C,D,E,F#,,G,A,Bb,C,D,Eb,F,,G,A,Bb,C,D,Eb,F#,,G,A,Bb,C,D,E,F#,,,,,,,
,G#,A#,B#,C#,D#,E#,F##,,G#,A#,B,C#,D#,E,F#,,G#,A#,B,C#,D#,E,F##,,G#,A#,B,C#,D#,E#,F##,,,,,,,
,Ab,Bb,C,Db,Eb,F,G,,Ab,Bb,Cb,Db,Eb,Fb,Gb,,Ab,Bb,Cb,Db,Eb,Fb,G,,Ab,Bb,Cb,Db,Eb,F,G,,,,,,,
,A,B,C#,D,E,F#,G#,,A,B,C,D,E,F,G,,A,B,C,D,E,F,G#,,A,B,C,D,E,F#,G#,,,,,,,
,A#,B#,C##,D#,E#,F##,G##,,A#,B#,C#,D#,E#,F#,G#,,A#,B#,C#,D#,E#,F#,G##,,A#,B#,C#,D#,E#,F##,G##,,,,,,,
,Bb,C,D,Eb,F,G,A,,Bb,C,Db,Eb,F,Gb,Ab,,Bb,C,Db,Eb,F,Gb,A,,Bb,C,Db,Eb,F,G,A,,,,,,,
,B,C#,D#,E,F#,G#,A#,,B,C#,D,E,F#,G,A,,B,C#,D,E,F#,G,A#,,B,C#,D,E,F#,G#,A#,,,,,,,
,B#,C##,D##,E#,F##,G##,A##,,B#,C##,D#,E#,F##,G#,A#,,B#,C##,D#,E#,F##,G#,A##,,B#,C##,D#,E#,F##,G##,A##,,,,,,,
,Cb,Db,Eb,Fb,Gb,Ab,Bb,,Cb,Db,Ebb,Fb,Gb,Abb,Bbb,,Cb,Db,Ebb,Fb,Gb,Abb,Bb,,Cb,Db,Ebb,Fb,Gb,Ab,Bb,,,,,,,
,C##,D##,E##,F##,G##,A##,B##,,C##,D##,E#,F##,G##,A#,B#,,C##,D##,E#,F##,G##,A#,B##,,C##,D##,E#,F##,G##,A##,B##,,,,,,,
